ano,orgao,codigoOrgao,orgaoSuperior,codigoOrgaoSuperior,empenhado,liquidado,pago
2020,Fundo Nacional de Desenvolvimento da Educação,26298,Ministério da Educação,26000,"47.931.776.674,75","37.683.086.299,69","37.668.659.317,20"
2020,Empresa Brasileira de Serviços Hospitalares,26443,Ministério da Educação,26000,"7.943.104.937,19","7.144.331.045,60","6.712.898.908,95"
2020,Universidade Federal do Rio de Janeiro,26245,Ministério da Educação,26000,"4.158.880.420,78","4.036.787.394,20","3.805.025.965,57"
2020,Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,26291,Ministério da Educação,26000,"3.451.763.702,40","2.999.117.003,01","2.992.374.868,91"
2020,Universidade Federal de Minas Gerais,26238,Ministério da Educação,26000,"2.508.246.789,64","2.419.402.743,40","2.284.283.916,38"
2020,Universidade Federal Fluminense,26236,Ministério da Educação,26000,"2.384.510.727,98","2.253.606.082,39","2.115.246.722,95"
2020,Universidade Federal do Rio Grande do Sul,26244,Ministério da Educação,26000,"1.997.143.732,08","1.938.418.238,37","1.824.942.274,07"
2020,Universidade Federal da Bahia,26232,Ministério da Educação,26000,"1.968.764.533,96","1.925.267.736,53","1.807.777.358,71"
2020,Fundação Universidade de Brasília,26271,Ministério da Educação,26000,"2.144.305.961,89","1.910.431.794,82","1.802.182.955,01"
2020,Universidade Federal da Paraíba,26240,Ministério da Educação,26000,"1.969.751.966,93","1.901.972.200,12","1.757.876.172,80"
2020,Universidade Federal do Paraná,26241,Ministério da Educação,26000,"1.898.895.050,97","1.834.709.231,90","1.731.338.987,49"
2020,Universidade Federal de Santa Catarina,26246,Ministério da Educação,26000,"2.006.701.829,92","1.833.384.970,88","1.712.868.159,65"
2020,Universidade Federal de Pernambuco,26242,Ministério da Educação,26000,"1.895.154.922,10","1.813.526.870,83","1.697.701.927,12"
2020,Universidade Federal do Rio Grande do Norte,26243,Ministério da Educação,26000,"1.944.171.174,22","1.787.973.902,71","1.667.037.227,28"
2020,Universidade Federal do Ceará,26233,Ministério da Educação,26000,"1.730.049.843,14","1.658.889.077,61","1.560.696.160,27"
2020,Fundação Universidade Federal de Uberlândia,26274,Ministério da Educação,26000,"1.672.725.228,73","1.611.283.634,86","1.524.017.120,81"
2020,Hospital de Clínicas de Porto Alegre,26294,Ministério da Educação,26000,"1.596.688.434,54","1.553.817.331,68","1.460.371.832,52"
2020,Universidade Federal do Pará,26239,Ministério da Educação,26000,"1.591.408.485,05","1.520.562.613,22","1.428.955.340,84"
2020,Universidade Federal de São Paulo,26262,Ministério da Educação,26000,"1.492.024.396,30","1.429.557.335,21","1.350.896.779,66"
2020,Universidade Federal de Goiás,26235,Ministério da Educação,26000,"1.458.174.205,70","1.415.854.738,49","1.315.467.054,37"
2020,Universidade Federal de Santa Maria,26247,Ministério da Educação,26000,"1.493.080.190,03","1.400.001.512,19","1.286.553.162,86"
2020,Ministério da Educação - Unidades com vínculo direto,26000,Ministério da Educação,26000,"1.250.762.480,07","1.070.780.710,43","1.010.314.728,98"
2020,Universidade Federal do Espírito Santo,26234,Ministério da Educação,26000,"1.118.830.613,60","1.071.991.482,05","1.001.514.584,16"
2020,Universidade Federal de Alagoas,26231,Ministério da Educação,26000,"1.003.694.900,82","979.046.681,81","917.200.044,23"
2020,Universidade Tecnológica Federal do Paraná,26258,Ministério da Educação,26000,"1.062.184.354,20","983.557.796,30","914.192.958,57"
2020,Universidade Federal de Juiz de Fora,26237,Ministério da Educação,26000,"1.030.271.580,60","955.480.809,24","904.761.960,77"
2020,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo",26439,Ministério da Educação,26000,"990.631.860,74","941.388.548,62","885.447.952,72"
2020,Universidade Federal de Viçosa,26282,Ministério da Educação,26000,"986.564.160,02","919.063.831,38","856.869.399,79"
2020,Fundação Universidade Federal do Mato Grosso,26276,Ministério da Educação,26000,"972.061.653,97","911.173.468,25","854.183.240,55"
2020,Fundação Universidade Federal do Mato Grosso do Sul,26283,Ministério da Educação,26000,"944.927.441,44","898.972.026,46","846.219.386,86"
2020,Fundação Universidade do Maranhão,26272,Ministério da Educação,26000,"936.243.941,39","905.242.708,81","844.217.117,80"
2020,Fundação Universidade Federal de Pelotas,26278,Ministério da Educação,26000,"863.981.353,68","844.734.500,01","791.923.424,49"
2020,Fundação Universidade Federal do Piauí,26279,Ministério da Educação,26000,"851.977.782,52","811.562.323,21","759.227.701,05"
2020,Fundação Universidade do Amazonas,26270,Ministério da Educação,26000,"859.857.258,41","796.041.677,48","744.856.894,59"
2020,Fundação Universidade Federal de Sergipe,26281,Ministério da Educação,26000,"833.811.298,98","790.013.706,14","738.099.918,44"
2020,"Instituto Federal de Educação, Ciência e Tecnologia do Ceará",26405,Ministério da Educação,26000,"817.540.012,54","750.421.847,85","689.517.398,32"
2020,Universidade Federal de Campina Grande,26252,Ministério da Educação,26000,"795.427.981,09","746.475.383,68","688.871.127,55"
