ano,orgao,codigoOrgao,orgaoSuperior,codigoOrgaoSuperior,empenhado,liquidado,pago
2021,Fundo Nacional de Desenvolvimento da Educação,26298,Ministério da Educação,26000,"55.278.791.308,84","45.578.348.451,91","45.565.320.445,42"
2021,Empresa Brasileira de Serviços Hospitalares,26443,Ministério da Educação,26000,"8.561.589.383,31","7.764.079.251,21","7.393.141.167,23"
2021,Universidade Federal do Rio de Janeiro,26245,Ministério da Educação,26000,"4.024.479.923,27","3.925.137.674,79","3.671.238.963,91"
2021,Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,26291,Ministério da Educação,26000,"3.310.354.999,16","3.099.032.577,90","3.093.192.803,12"
2021,Universidade Federal de Minas Gerais,26238,Ministério da Educação,26000,"2.455.673.678,66","2.407.940.195,41","2.271.289.118,05"
2021,Universidade Federal Fluminense,26236,Ministério da Educação,26000,"2.358.091.160,38","2.254.491.781,71","2.096.526.494,78"
2021,Universidade Federal do Rio Grande do Sul,26244,Ministério da Educação,26000,"2.213.065.593,80","2.097.464.661,46","1.892.891.310,45"
2021,Universidade Federal da Bahia,26232,Ministério da Educação,26000,"1.976.394.942,90","1.934.287.964,44","1.816.728.784,77"
2021,Universidade Federal da Paraíba,26240,Ministério da Educação,26000,"1.962.351.790,77","1.917.716.926,07","1.772.597.344,61"
2021,Fundação Universidade de Brasília,26271,Ministério da Educação,26000,"2.041.449.714,99","1.879.173.735,71","1.766.993.457,71"
2021,Universidade Federal do Paraná,26241,Ministério da Educação,26000,"1.914.421.021,24","1.853.497.481,16","1.744.400.972,07"
2021,Universidade Federal de Santa Catarina,26246,Ministério da Educação,26000,"1.938.285.518,58","1.848.251.243,52","1.716.715.244,45"
2021,Universidade Federal do Rio Grande do Norte,26243,Ministério da Educação,26000,"1.900.063.681,47","1.814.907.756,60","1.694.926.308,59"
2021,Universidade Federal de Pernambuco,26242,Ministério da Educação,26000,"1.899.962.127,28","1.816.842.902,97","1.692.040.398,32"
2021,Universidade Federal do Ceará,26233,Ministério da Educação,26000,"1.700.548.912,62","1.671.897.824,40","1.571.152.887,47"
2021,Hospital de Clínicas de Porto Alegre,26294,Ministério da Educação,26000,"1.697.036.595,01","1.634.342.212,97","1.511.149.346,56"
2021,Fundação Universidade Federal de Uberlândia,26274,Ministério da Educação,26000,"1.592.056.979,14","1.549.485.212,48","1.461.253.732,70"
2021,Universidade Federal do Pará,26239,Ministério da Educação,26000,"1.571.508.935,57","1.509.723.275,86","1.417.219.114,12"
2021,Universidade Federal de São Paulo,26262,Ministério da Educação,26000,"1.506.677.038,39","1.445.439.397,56","1.359.378.910,05"
2021,Universidade Federal de Santa Maria,26247,Ministério da Educação,26000,"1.484.073.119,58","1.430.912.449,28","1.345.905.890,36"
2021,Universidade Federal de Goiás,26235,Ministério da Educação,26000,"1.346.017.307,72","1.312.293.674,66","1.210.980.211,06"
2021,Ministério da Educação - Unidades com vínculo direto,26000,Ministério da Educação,26000,"1.169.119.710,67","1.089.649.136,30","1.045.412.277,79"
2021,Universidade Federal do Espírito Santo,26234,Ministério da Educação,26000,"1.123.265.951,20","1.075.973.241,10","1.005.625.237,19"
2021,Universidade Federal de Alagoas,26231,Ministério da Educação,26000,"1.034.545.458,08","1.007.301.352,53","943.836.959,76"
2021,Universidade Federal de Juiz de Fora,26237,Ministério da Educação,26000,"1.043.125.436,15","970.965.053,36","916.115.136,56"
2021,Universidade Tecnológica Federal do Paraná,26258,Ministério da Educação,26000,"1.049.588.401,56","985.371.034,39","911.620.478,76"
2021,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo",26439,Ministério da Educação,26000,"1.045.023.990,12","982.577.101,77","910.354.015,58"
2021,Universidade Federal de Viçosa,26282,Ministério da Educação,26000,"1.014.039.251,25","947.416.718,64","882.312.989,51"
2021,Fundação Universidade Federal do Mato Grosso do Sul,26283,Ministério da Educação,26000,"1.021.889.469,84","931.325.312,18","878.748.190,00"
2021,Fundação Universidade do Maranhão,26272,Ministério da Educação,26000,"951.571.177,03","903.257.848,02","847.222.290,50"
2021,Fundação Universidade Federal do Mato Grosso,26276,Ministério da Educação,26000,"907.947.384,07","877.074.686,79","813.000.317,21"
2021,Fundação Universidade Federal de Pelotas,26278,Ministério da Educação,26000,"842.769.615,67","838.047.838,66","782.609.263,67"
2021,Fundação Universidade Federal de Sergipe,26281,Ministério da Educação,26000,"837.490.703,04","811.091.389,66","757.603.527,77"
2021,Fundação Universidade do Amazonas,26270,Ministério da Educação,26000,"845.612.748,20","795.655.924,76","737.717.018,87"
2021,Fundação Universidade Federal do Piauí,26279,Ministério da Educação,26000,"833.790.038,92","797.998.225,66","727.926.847,11"
2021,"Instituto Federal de Educação, Ciência e Tecnologia do Ceará",26405,Ministério da Educação,26000,"811.250.248,25","777.000.839,00","714.257.688,30"
2021,Universidade Federal de Campina Grande,26252,Ministério da Educação,26000,"803.896.847,00","770.124.788,98","708.546.895,17"
2021,"Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo",26406,Ministério da Educação,26000,"763.940.932,70","721.470.546,61","663.777.566,05"
2021,Colégio Pedro II,26201,Ministério da Educação,26000,"720.438.734,50","688.662.502,95","630.568.554,63"
2021,Fundação Universidade Federal de São Carlos,26280,Ministério da Educação,26000,"690.418.825,09","667.583.785,69","624.770.054,42"
2021,Universidade Federal Rural do Rio de Janeiro,26249,Ministério da Educação,26000,"715.841.233,03","667.688.764,52","609.048.608,81"
2021,Universidade Federal do Estado do Rio de Janeiro,26269,Ministério da Educação,26000,"657.008.228,05","635.208.126,35","591.226.885,81"
2021,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão",26408,Ministério da Educação,26000,"684.351.095,85","640.801.789,83","582.828.706,34"
2021,Universidade Federal Rural de Pernambuco,26248,Ministério da Educação,26000,"642.952.852,18","621.381.418,92","579.175.867,68"
2021,"Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina",26438,Ministério da Educação,26000,"644.330.701,47","614.758.661,50","563.735.698,06"
