ano,orgao,codigoOrgao,orgaoSuperior,codigoOrgaoSuperior,empenhado,liquidado,pago
2022,Fundo Nacional de Desenvolvimento da Educação,26298,Ministério da Educação,26000,"70.877.743.779,97","59.334.497.116,82","59.260.915.543,98"
2022,Empresa Brasileira de Serviços Hospitalares,26443,Ministério da Educação,26000,"9.065.407.953,41","8.154.063.788,06","7.425.186.777,82"
2022,Universidade Federal do Rio de Janeiro,26245,Ministério da Educação,26000,"4.042.232.375,37","4.000.045.178,90","3.751.022.990,25"
2022,Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,26291,Ministério da Educação,26000,"3.519.893.474,79","2.997.395.052,76","2.990.914.437,52"
2022,Universidade Federal de Minas Gerais,26238,Ministério da Educação,26000,"2.527.865.534,11","2.476.347.794,99","2.328.584.168,63"
2022,Universidade Federal Fluminense,26236,Ministério da Educação,26000,"2.419.992.552,35","2.306.640.730,56","2.155.761.017,54"
2022,Universidade Federal da Bahia,26232,Ministério da Educação,26000,"2.007.885.471,13","1.976.877.690,51","1.858.704.044,85"
2022,Universidade Federal do Rio Grande do Sul,26244,Ministério da Educação,26000,"2.065.726.439,82","1.979.937.787,25","1.854.826.819,40"
2022,Fundação Universidade de Brasília,26271,Ministério da Educação,26000,"2.077.128.538,52","1.937.254.986,15","1.829.112.147,13"
2022,Universidade Federal do Paraná,26241,Ministério da Educação,26000,"1.939.667.172,17","1.915.313.077,77","1.802.834.478,70"
2022,Universidade Federal da Paraíba,26240,Ministério da Educação,26000,"1.996.920.415,14","1.940.038.710,72","1.792.676.067,06"
2022,Universidade Federal de Santa Catarina,26246,Ministério da Educação,26000,"1.987.581.797,98","1.918.397.273,26","1.779.062.801,25"
2022,Universidade Federal do Rio Grande do Norte,26243,Ministério da Educação,26000,"1.933.124.121,42","1.886.854.343,76","1.759.408.341,40"
2022,Universidade Federal de Pernambuco,26242,Ministério da Educação,26000,"1.914.744.301,96","1.852.272.295,06","1.730.033.783,42"
2022,Universidade Federal do Ceará,26233,Ministério da Educação,26000,"1.739.104.575,66","1.710.350.091,81","1.603.431.555,85"
2022,Hospital de Clínicas de Porto Alegre,26294,Ministério da Educação,26000,"1.755.631.418,56","1.698.309.125,12","1.570.825.623,70"
2022,Universidade Federal do Pará,26239,Ministério da Educação,26000,"1.631.684.007,91","1.582.377.769,12","1.486.596.236,95"
2022,Fundação Universidade Federal de Uberlândia,26274,Ministério da Educação,26000,"1.587.202.997,84","1.546.848.716,32","1.458.827.796,27"
2022,Universidade Federal de Santa Maria,26247,Ministério da Educação,26000,"1.520.249.261,30","1.484.306.225,67","1.399.790.364,83"
2022,Universidade Federal de São Paulo,26262,Ministério da Educação,26000,"1.530.167.390,56","1.471.860.885,54","1.384.668.146,00"
2022,Universidade Federal de Goiás,26235,Ministério da Educação,26000,"1.380.726.349,56","1.352.519.845,44","1.268.289.818,53"
2022,Universidade Federal do Espírito Santo,26234,Ministério da Educação,26000,"1.139.358.725,43","1.103.643.129,03","1.032.686.322,44"
2022,Ministério da Educação - Unidades com vínculo direto,26000,Ministério da Educação,26000,"1.252.492.958,44","1.106.428.316,91","1.025.893.183,75"
2022,Universidade Federal de Juiz de Fora,26237,Ministério da Educação,26000,"1.088.798.161,19","1.040.431.580,35","984.000.538,79"
2022,Universidade Federal de Alagoas,26231,Ministério da Educação,26000,"1.079.233.871,34","1.039.193.227,16","971.937.494,67"
2022,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo",26439,Ministério da Educação,26000,"1.098.691.725,67","1.042.037.598,87","967.771.459,65"
2022,Universidade Tecnológica Federal do Paraná,26258,Ministério da Educação,26000,"1.088.525.886,97","1.027.471.207,42","954.392.150,94"
2022,Universidade Federal de Viçosa,26282,Ministério da Educação,26000,"1.005.074.404,00","964.596.404,59","900.467.571,87"
2022,Fundação Universidade do Maranhão,26272,Ministério da Educação,26000,"974.933.775,09","953.408.267,37","890.767.098,94"
2022,Fundação Universidade Federal do Mato Grosso do Sul,26283,Ministério da Educação,26000,"988.152.103,29","937.667.408,01","883.169.113,91"
2022,Fundação Universidade Federal do Mato Grosso,26276,Ministério da Educação,26000,"920.367.960,79","897.458.076,21","827.318.602,26"
2022,Fundação Universidade Federal de Pelotas,26278,Ministério da Educação,26000,"873.528.998,83","863.927.854,04","806.537.834,74"
2022,Fundação Universidade do Amazonas,26270,Ministério da Educação,26000,"878.265.264,80","836.339.314,30","784.463.219,98"
2022,Fundação Universidade Federal de Sergipe,26281,Ministério da Educação,26000,"868.804.000,38","836.286.786,13","782.601.941,42"
2022,Fundação Universidade Federal do Piauí,26279,Ministério da Educação,26000,"874.910.234,58","830.954.299,83","777.174.018,13"
2022,"Instituto Federal de Educação, Ciência e Tecnologia do Ceará",26405,Ministério da Educação,26000,"859.071.465,27","828.383.761,64","766.662.073,40"
2022,Universidade Federal de Campina Grande,26252,Ministério da Educação,26000,"823.965.407,81","798.368.492,59","738.441.179,10"
2022,"Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo",26406,Ministério da Educação,26000,"805.493.684,42","766.215.889,17","708.690.353,95"
2022,Fundação Universidade Federal de São Carlos,26280,Ministério da Educação,26000,"715.816.426,00","691.329.980,11","647.525.808,53"
2022,Universidade Federal Rural do Rio de Janeiro,26249,Ministério da Educação,26000,"750.173.162,71","701.239.303,75","643.968.234,15"
2022,Colégio Pedro II,26201,Ministério da Educação,26000,"728.360.031,20","697.883.246,09","641.146.395,14"
2022,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão",26408,Ministério da Educação,26000,"725.917.514,32","679.472.745,61","627.421.763,63"
2022,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte",26435,Ministério da Educação,26000,"719.515.349,67","657.416.332,14","601.759.657,31"
2022,"Instituto Federal de Educação, Ciência e Tecnologia da Bahia",26427,Ministério da Educação,26000,"672.012.155,42","649.737.074,64","601.515.550,56"
2022,Universidade Federal Rural de Pernambuco,26248,Ministério da Educação,26000,"657.710.901,60","643.837.699,89","599.625.790,36"
2022,Universidade Federal do Estado do Rio de Janeiro,26269,Ministério da Educação,26000,"667.285.985,26","651.237.214,39","590.503.614,74"
2022,"Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina",26438,Ministério da Educação,26000,"667.798.486,35","639.196.551,19","589.498.741,07"
2022,Universidade Federal do Rio Grande,26273,Ministério da Educação,26000,"606.462.933,28","597.908.039,03","564.767.559,89"
2022,"Instituto Federal de Educação, Ciência e Tecnologia da Paraíba",26417,Ministério da Educação,26000,"636.278.543,05","603.858.298,33","557.773.550,72"
2022,"Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco",26418,Ministério da Educação,26000,"623.270.214,88","603.502.908,05","557.760.992,62"
2022,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,26290,Ministério da Educação,26000,"1.098.048.682,06","621.205.658,43","532.734.474,13"
2022,Universidade Federal do Triângulo Mineiro,26254,Ministério da Educação,26000,"554.854.843,78","538.644.728,92","506.638.638,08"
2022,"Instituto Federal de Educação, Ciência e Tecnologia do Pará",26416,Ministério da Educação,26000,"540.694.936,77","524.791.136,17","489.390.126,57"
2022,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",26419,Ministério da Educação,26000,"529.071.337,26","505.275.483,54","471.009.819,29"
2022,"Instituto Federal de Educação, Ciência e Tecnologia do Mato Grosso",26414,Ministério da Educação,26000,"529.212.906,07","504.821.743,55","470.833.702,02"
2022,Centro Federal de Educação Tecnológica de Minas Gerais,26257,Ministério da Educação,26000,"516.125.963,91","505.782.977,62","467.919.384,18"
2022,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",26431,Ministério da Educação,26000,"521.355.985,55","505.369.716,43","465.525.209,54"
2022,"Instituto Federal de Educação, Ciência e Tecnologia de Goiás",26429,Ministério da Educação,26000,"537.822.790,80","503.394.854,82","462.857.392,47"
2022,"Instituto Federal de Educação, Ciência e Tecnologia Sul-rio-grandense",26436,Ministério da Educação,26000,"510.738.859,67","495.739.848,17","456.916.875,18"
2022,Instituto Federal do Paraná,26432,Ministério da Educação,26000,"502.293.061,76","477.019.251,00","446.826.769,02"
