codigo,descricao
22500,Companhia de Entrepostos e Armazéns Gerais de São Paulo
22801,Comissão Executiva do Plano da Lavoura Cacaueira
22802,Instituto Nacional de Meteorologia
22803,Secretaria Nacional de Defesa Agropecuária
22804,"Subsecretaria de Planejamento, Orçamento e Administração/MAPA"
22805,Fundo Geral do Cacau
22806,Secretaria de Desenvolvimento Agropecuário e Cooperativismo
22904,CODIGO INVALIDO
22905,Fundo de Defesa da Economia Cafeeira
23000,Ministério do Bem Estar Social - em extinção - Unidades com vínculo direto
23201,Fundação Centro Brasileira da Infância e Adolescência - em extinção
23202,Fundação Legião Brasileira de Assistência
24000,"Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto"
24101,CODIGO INVALIDO
24205,CODIGO INVALIDO
24208,Instituto Nacional de Tecnologia da Informação
24209,Centro Nacional de Tecnologia Eletrônica Avançada S.A.
24216,Telecomunicações Brasileiras S.A.
24801,Instituto Nacional de Pesquisas Espaciais
24802,"Subsecretaria de Planejamento, Orçamento e Administração/MCT"
24803,Financiadora de Estudos e Projetos
24901,Fundo Nacional de Desenvolvimento Científico e Tecnológico
25000,Ministério da Fazenda - Unidades com vínculo direto
25001,Fundo Especial de Desenvolvimento e Aperfeiçoamento das Atividades de Fiscalização
25002,Fundo Especial de Treinamento e Desenvolvimento
25101,CODIGO INVALIDO
25201,Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto
25202,Banco da Amazônia
25203,Comissão de Valores Mobiliários
25205,Fundação Instituto Brasileiro de Geografia e Estatística
25206,Instituto de Pesquisa Econômica Aplicada
25207,Serviço Federal de Processamento de Dados
25208,Superintendência de Seguros Privados
25209,Superintendência Nacional do Abastecimento - em extinção
25211,Casa da Moeda do Brasil
25220,Caixa Econômica Federal
25274,CODIGO INVALIDO
25280,Banco Central do Brasil
25281,Banco do Brasil S.A.
25282,Banco do Nordeste do Brasil
25289,Agência Brasileira Gestora de Fundos Garantidores e Garantias S.A.
25301,Empresa Gestora de Ativos
25500,CODIGO INVALIDO
25801,Receita Federal do Brasil
25802,Escola de Administração Fazendária
25803,Procuradoria-Geral da Fazenda Nacional
25804,"Subsecretaria de Planejamento, Orçamento e Administração/MF"
25805,Secretaria do Tesouro Nacional
25806,Secretaria de Acompanhamento Econômico
25901,Fundo de Compensação de Variações Salariais
25902,Fundo de Investimentos do Nordeste
25903,Fundo de Investimentos da Amazônia
25904,Fundo de Estabilidade do Seguro Rural
25905,Fundo de Apoio ao Desenvolvimento Social
25907,Fundo Constitucional de Financiamento do Norte - Integração
25908,Fundo Constitucional de Financiamento do Centro-Oeste - Integração
25910,Fundo Constitucional de Financiamento do Nordeste - Integração
25914,Fundo de Garantia à Exportação
25915,Fundo Constitucional do Distrito Federal
25916,Fundo Contingente da Extinta RFFSA-FCMP
25917,Fundo para Pagamento de Prestações no caso de Perda de Renda por Desemprego e Invalidez Temporária
26000,Ministério da Educação - Unidades com vínculo direto
26101,Fundo de Financiamento ao Estudante do Ensino Superior
26201,Colégio Pedro II
26202,Centro Federal de Educação Tecnológica de Alagoas
26203,Centro Federal de Educação Tecnológica do Amazonas
26204,Escola Técnica Federal da Bahia
26205,Centro Federal de Educação Tecnológica de Campos
26206,Centro Federal de Educação Tecnológica do Ceará
26207,Centro Federal de Educação Tecnológica do Espírito Santo
26208,Centro Federal de Educação Tecnológica de Goiás
26209,Centro Federal de Educação Tecnológica do Maranhão
26210,Centro Federal de Educação Tecnológica do Mato Grosso
26211,Centro Federal de Educação Tecnológica de Ouro Preto
26212,Centro Federal de Educação Tecnológica do Pará
26213,Centro Federal de Educação Tecnológica da Paraíba
26214,Centro Federal de Educação Tecnológica Pelotas
26215,Centro Federal de Educação Tecnológica de Pernambuco
26216,Centro Federal de Educação Tecnologica do Piaui
26217,Centro Federal de Educação Tecnológica de Química - Nilópolis RJ
26218,Centro Federal de Educação Tecnológica do Rio Grande do Norte
26219,Centro Federal de Educação Tecnológica de Santa Catarina
26220,Centro Federal de Educação Tecnológica de São Paulo
26221,Centro Federal de Educação Tecnológica de Sergipe
26222,Centro Federal de Educação Tencológica de Roraima
26223,Escola Técnica Federal de Palmas
26224,Escola Técnica Federal de Rondônia
26230,Fundação Universidade Federal do Vale do São Francisco
26231,Universidade Federal de Alagoas
26232,Universidade Federal da Bahia
26233,Universidade Federal do Ceará
26234,Universidade Federal do Espírito Santo
26235,Universidade Federal de Goiás
26236,Universidade Federal Fluminense
26237,Universidade Federal de Juiz de Fora
26238,Universidade Federal de Minas Gerais
26239,Universidade Federal do Pará
26240,Universidade Federal da Paraíba
26241,Universidade Federal do Paraná
26242,Universidade Federal de Pernambuco
26243,Universidade Federal do Rio Grande do Norte
26244,Universidade Federal do Rio Grande do Sul
26245,Universidade Federal do Rio de Janeiro
26246,Universidade Federal de Santa Catarina
26247,Universidade Federal de Santa Maria
26248,Universidade Federal Rural de Pernambuco
26249,Universidade Federal Rural do Rio de Janeiro
26250,Universidade Federal de Roraima
26251,Fundação Universidade Federal do Tocantins
26252,Universidade Federal de Campina Grande
26253,Universidade Federal Rural da Amazônia
26254,Universidade Federal do Triângulo Mineiro
26255,Universidade Federal dos Vales do Jequitinhonha e Mucuri
26256,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca
26257,Centro Federal de Educação Tecnológica de Minas Gerais
26258,Universidade Tecnológica Federal do Paraná
26259,Centro Federal de Educação Tecnológica da Bahia
26260,Universidade Federal de Alfenas
26261,Universidade Federal de Itajubá
26262,Universidade Federal de São Paulo
26263,Universidade Federal de Lavras
26264,Universidade Federal Rural do Semi-Árido
26266,Fundação Universidade Federal do Pampa
26267,Universidade Federal da Integração Latino-Americana
26268,Fundação Universidade Federal de Rondônia
26269,Universidade Federal do Estado do Rio de Janeiro
26270,Fundação Universidade do Amazonas
26271,Fundação Universidade de Brasília
26272,Fundação Universidade do Maranhão
26273,Universidade Federal do Rio Grande
26274,Fundação Universidade Federal de Uberlândia
26275,Fundação Universidade Federal do Acre
26276,Fundação Universidade Federal do Mato Grosso
26277,Universidade Federal de Ouro Preto
26278,Fundação Universidade Federal de Pelotas
26279,Fundação Universidade Federal do Piauí
26280,Fundação Universidade Federal de São Carlos
26281,Fundação Universidade Federal de Sergipe
26282,Universidade Federal de Viçosa
26283,Fundação Universidade Federal do Mato Grosso do Sul
26284,Fundação Universidade Federal de Ciências da Saúde de Porto Alegre
26285,Fundação Universidade Federal de São João Del-Rei
26286,Fundação Universidade Federal do Amapá
26287,Escola Agrotécnica Federal de Marabá
26288,Escola Agrotécnica Federal de Nova Andradina
26289,Escola Agrotécnica Federal de São Raimundo das Mangabeiras
26290,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira
26291,Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior
26292,Fundação Joaquim Nabuco
26293,Fundação Roquette Pinto - em extinção
26294,Hospital de Clínicas de Porto Alegre
26295,Instituto Nacional de Desenvolvimento do Desporto
