ano,orgao,codigo_orgao,orgao_superior,codigo_orgao_superior,empenhado,liquidado,pago,taxa_execucao,taxa_pagamento
2023,Universidade Federal do Triângulo Mineiro,26254,Ministério da Educação,26000,610143453.87,590608400.28,535980428.16,96.8,87.84
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Mato Grosso",26414,Ministério da Educação,26000,632790479.91,592341018.05,523695865.1,93.61,82.76
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",26431,Ministério da Educação,26000,613884894.55,583746148.09,523326960.04,95.09,85.25
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",26419,Ministério da Educação,26000,580584499.47,556350832.59,510124405.84,95.83,87.86
2023,Centro Federal de Educação Tecnológica de Minas Gerais,26257,Ministério da Educação,26000,561629752.67,551958458.07,504084763.96,98.28,89.75
2023,"Instituto Federal de Educação, Ciência e Tecnologia de Goiás",26429,Ministério da Educação,26000,592429021.54,566438424.26,497504783.79,95.61,83.98
2023,"Instituto Federal de Educação, Ciência e Tecnologia Sul-rio-grandense",26436,Ministério da Educação,26000,571241616.76,550670771.32,489782412.91,96.4,85.74
2023,Instituto Federal do Paraná,26432,Ministério da Educação,26000,573292399.4,543444163.48,489760291.28,94.79,85.43
2023,Universidade Federal de Ouro Preto,26277,Ministério da Educação,26000,535098247.75,516728902.23,471714679.41,96.57,88.15
2023,"Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais",26409,Ministério da Educação,26000,542353726.29,502782045.32,460710244.9,92.7,84.95
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Rio de Janeiro",26433,Ministério da Educação,26000,537998085.97,515177895.51,458174982.02,95.76,85.16
2023,"Instituto Federal de Educação, Ciência e Tecnologia Fluminense",26434,Ministério da Educação,26000,540797456.52,507150791.73,457676484.56,93.78,84.63
2023,Universidade Federal de Lavras,26263,Ministério da Educação,26000,482077373.76,456782942.69,416226117.45,94.75,86.34
2023,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,26256,Ministério da Educação,26000,487376706.95,456421122.97,409740232.88,93.65,84.07
2023,"Instituto Federal de Educação, Ciência e Tecnologia Catarinense",26422,Ministério da Educação,26000,478608695.01,455408235.76,409456431.74,95.15,85.55
